ID.format,ID.completed,ID.case,ID.interviewer,ID.date,ID.start,ID.endDate,ID.end,ID.time,ID.name,Q1,Q2,Q3a,Q3b,Q3c,Q4,Q5:1,Q5:2,Q5:3,Q5:4,Q5:5,Q6,Q7,Q8,Q9,Q10:1,Q10:2,Q10:3,Q11,Q12,Q13,Q14,Q15,Q16:1,Q16:2,Q16:3,Q16:4,Q17,Q18a,Q19,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q22,Q23,Q24,Q25,Q26,Q27a,Q28a,Q29,Q30,Q31,NewNetEasy,Q32,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q34a,Q35,OverallSat,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47:1,Q47:2,Q47:3,Q47:4,Q47:5,Q47:6,Q47:7,Q47:8,Q48
Web: Snap WebHost,completed,b690d42d-037d-4cfa-b674-2ba380763a77,,10/11/2021,18:48:05,10/11/2021,19:04:51,16.77,ARJE5609TR816,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverts reach a wide audience,Automatic interview notifications and automatic rejections,"It lacks flexibility.  For example, once you have selected your shortlist, you can't go back and add others, if someone drops out.  You have to limit the shortlist to a reasonable number, but if someone drops out, you may wish to add another candidate to the shortlist, but by then, they have already had a rejection notification.",Fairly difficult,"The general information is easy, but the job description and person spec bits are unnecessarily time consuming as you have to copy and paste in bits in separate sections.  We should just be able to copy the whole job description into one place, and the person spec in another.  Essential qualifications could be entered in a separate area.",,User guides,,,,Useful,,5,For reasons explained previously.  Too time-consuming and lacks flexibility.,GP practice,,South West,,HR Manager or equivalent,,Quarterly,7 to 11 months,10,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,260bd93c-d44b-4bb4-af39-0690c172e49b,,10/11/2021,22:15:59,10/11/2021,22:40:07,24.13,ARJE2486IP388,Yes,No,Good,Good,Fair,Very lengthy application form,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Fair,Fair,Fair,Fair,"No, there were not enough communications","No, I felt some information was missing",Recruitment staff was non approachable,Resourcing and recruitment staff should be contactable,There is no staff retention and exit interview,4,Neither easy nor difficult,Getting the right notifications,Getting the right job info,All good,Fairly easy,,,,,,None of the above,,,5,There should be some human contact,NHS Trust/Health Board,,Midlands,,Other job role (please type in the box below),Resourcing administrator,Quarterly,7 to 11 months,,A combination of NHS Jobs and another system,,Trac,,,,,,,
Web: Snap WebHost,completed,4db53a03-26fd-4bb4-9921-3e816dcbb34f,,11/11/2021,07:50:01,11/11/2021,07:52:57,2.93,ARJE2597ID139,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,Fairly difficult,No help,,,,,None of the above,,,3,Have had to delay advertising a vacancy as have received no assistance!,GP practice,,South West,,,,,,,A combination of NHS Jobs and another system,,,,,,,,,
Web: Snap WebHost,completed,abf5649a-f4d7-427e-ab36-ad7ff27500d1,,11/11/2021,08:25:14,11/11/2021,08:28:51,3.62,ARJE8884PK619,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it's online and instant,the fact that its onine,"it is not at all user friendly, i am very technically confident and i found it very frustrating to use",Fairly difficult,"it is not at all user friendly, i am very technically confident and i found it very frustrating to use.  it isn't clear at certain points that it will then prevent you from doing certain things if you hit a button, it locks applications down for instance",Frequently asked questions (FAQs),User guides,,,,Useful,,6,,Other organisation type (please type in the box below),charity,North West,,HR Manager or equivalent,,Less frequently than quarterly,4 to 6 months,2,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),our own
Web: Snap WebHost,completed,89fe88ba-defb-462d-aac8-b678063c62bf,,11/11/2021,08:48:10,11/11/2021,09:03:56,15.77,ARJE7812XQ114,Yes,No,Fair,Fair,Fair,I can't really remember it was so long ago.,,,,,None,,No,I can't really remember but based on the fact NHS jobs is a very clunky website and very difficult to use I can't imagine the on-boarding requirements were easy to input.,No,,,,,,,,,,,,,,,,,,,,Fair,Fair,Fair,Fair,,Yes,,I only did this survey thinking it was to comment on the site itself. I can't remember the on-boarding experience.,,5,Neither easy nor difficult,Nothing,None of it.,All of it.,Extremely difficult,"It's long winded, clunky, you have to upload so much information it takes about an hour to upload one job. We just don't have this time in general practice. Getting the information off the site is awkward. Now we no longer use it and use Indeed instead. We just want a CV and covering letter. The NHS jobs site is far too bureaucratic.  It appears that it's been made overly difficult to use on purpose.  The previous site was poor but the new site has taken advertising on NHS jobs to a new level of frustration and difficulty.  I'm sorry but it really isn't fit for purpose for general practice recruitment.",,,,,None of the above,,,Completely dissatisfied 1,"As previously mentioned, it is awkward to use, clunky and the information needed is immense for each vacancy.  It's just not worth the time and hassle to use.",GP practice,,East of England,,Other job role (please type in the box below),Business Manager,Less frequently than quarterly,12 months or more,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),"Indeed, Facebook, practice own website"
Web: Snap WebHost,completed,66507c1e-93b2-449f-a611-b2a505343f45,,11/11/2021,09:00:47,11/11/2021,09:04:31,3.73,ARJE5633OY285,Yes,No,,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,9,Very easy,,,,Very easy,,,User guides,,,,Very useful,,8,,GP practice,,North East and Yorkshire,,Hiring/Recruiting Manager,,Less frequently than quarterly,7 to 11 months,2,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,081c7b17-81e1-4c40-bbf3-180c63432611,,11/11/2021,10:36:37,11/11/2021,10:43:57,7.33,ARJE4578TE225,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None really,i find it difficult to use,I would go back to the old NHS jobs service if I could,Extremely difficult,It is really complicated to use and there is no flexibility if you don't have anything to put into a section.  It takes a long time to put a job onto it so I use Indeed now and don't use it any more!,,,Videos,NHS Jobs training website,,Not very useful,They didn't really answer the questions I had at the time.,Completely dissatisfied 1,I have already given my reasons in previous sections.,GP practice,,South East,,Recruitment Officer,,Quarterly,12 months or more,8,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,ef29ea83-8cec-44d5-bc1e-a490fdfa8393,,11/11/2021,10:46:49,11/11/2021,10:51:05,4.27,ARJE5883OY684,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is more user friendly,Interview appointments invitations and bookings,Overall very happy with NHS Jobs portal,Very easy,,,,,,None of the above,,,9,Easy to user and streamline system,GP practice,,East of England,,Hiring/Recruiting Manager,,Less frequently than quarterly,12 months or more,3,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,9c803f45-24d5-409b-98e3-63e54efddef4,,11/11/2021,11:19:02,11/11/2021,11:25:10,6.13,ARJE4741RB167,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,Extremely difficult,We do not use all aspects of NHS jobs and therefore once at interview stage there is lots missing and we have to contact the candidate.  Application layout is confusing and hard to read. No supporting statement section,,User guides,,,,Not very useful,Hard to find what you want,Completely dissatisfied 1,Hard to use. Confusing. Applications laid out confusing.,Hospice,,East of England,,HR Manager or equivalent,,Weekly,12 months or more,10,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Own website
Web: Snap WebHost,completed,88d84f9e-ba9d-4ed6-8a29-7b2f6c2f84ff,,10/11/2021,16:33:43,11/11/2021,11:54:48,1161.08,ARJE4622OP375,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly easy,,Frequently asked questions (FAQs),,,,,Useful,,8,,Other organisation type (please type in the box below),Hospice,Midlands,,Other job role (please type in the box below),Clinical Administrator,Quarterly,7 to 11 months,4,Not sure,,,,,,,,,
Web: Snap WebHost,completed,4bebb6d0-cbcf-42c9-9061-4e3af787733d,,11/11/2021,11:47:05,11/11/2021,11:56:46,9.68,ARJE9933GW132,Yes,No,Good,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,9,Extremely easy,,"NOt as good as the old system at all, everyone who I know who has used it says the same","Use the old system or at least make it so that it doesn't crash or error constantly.  It took me 3 days to post one advert as it kept crashing part way through.  When I evetually clicked publish it told me again there was an error and my information may not have been saved, tried to go back and publish again then it told me a job had already been published, had to go onto the NHS jobs website to check it was actually on and correct.",Very difficult,"Constant crashing and a lot more bits and sections to complete, old system a lot easier better and less time consuming for entry of data and the crashing and erroring problems",,,,,None of the above,,,3,I have already said in previous questions,GP practice,,North East and Yorkshire,,Other job role (please type in the box below),All of the above,Less frequently than quarterly,1 month,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),CCG Comms and Facebook
Web: Snap WebHost,completed,795f2fcf-246d-4daa-87d0-8ac989a75416,,11/11/2021,12:21:42,11/11/2021,12:33:09,11.45,ARJE5080VJ718,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very easy,,,,,,None of the above,,,9,,GP practice,,London,,HR Manager or equivalent,,Quarterly,12 months or more,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),PRACTICE MANGER GROUP WEBSITE
Web: Snap WebHost,completed,0aa1f39e-c501-480f-9961-80c5594085c3,,12/11/2021,08:00:14,12/11/2021,08:06:34,6.33,ARJE1401WV846,Yes,No,Good,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,7,Fairly easy,,,,Fairly easy,,,User guides,,,,Useful,,6,,GP practice,,North East and Yorkshire,,HR Manager or equivalent,,Quarterly,12 months or more,4,Not sure,,,,,,,,,
Web: Snap WebHost,completed,bead5ad9-542b-4ec8-8a63-c1ef5cc3cc17,,12/11/2021,10:36:43,12/11/2021,10:44:00,7.28,ARJE4970PO149,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"National reach, and it is free",Part of a national and high-volume recruitment portal,"Do away with as much as possible of the stuff that forces us to follow your process rather than our own.  I don't care whether some HR specialists in large NHS organisations have decreed that doing X is ""best practice"", that will not necessarily either be appropriate or even feasible for us in primary care.  It is very frustrating.",Fairly difficult,We are forced to do things as if we were a large hospital.,Frequently asked questions (FAQs),,,,,Not very useful,,4,"It makes work for me.  IT is just about worthwhile given that we get free national advertising, but the whole system is a real pain to use.",Other organisation type (please type in the box below),Primary Care Network,South West,,Other job role (please type in the box below),Most of the above - we are not a large organisation!!!,Monthly,12 months or more,15,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),"BSW Jobs site, occasionally commercial sites"
Web: Snap WebHost,completed,ce82f106-633d-4acf-9fdc-6ac3fcb72a32,,12/11/2021,16:27:13,12/11/2021,16:38:28,11.25,ARJE2687JZ789,Yes,No,Very poor,Very poor,Very poor,,,Communications from NHS Jobs,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",,,,No,just a horrible system to use,No,,,,,,,,,,,,,,,,,,,,Poor,Poor,Poor,Poor,"No, there were not enough communications","No, I felt some information was missing",,make it simpler lots of duplication of email addresses in the NHS,the process of placing jobs and writing job descriptions was unnecessarily complex and a hindrance in recruiting staff,2,Very difficult,easy to get on and easy to place an advert,none I can think of,complete overall,Very difficult,too many steps,,,,,None of the above,,,Completely dissatisfied 1,Why should I need a help resource to put an advert. If I I was placing an advert in a journal it would be straightforward. Formulate an advert and send it it in Presto! its done stupid,Other NHS organisation,,North East and Yorkshire,,Other job role (please type in the box below),Clinical Director,Less frequently than quarterly,4 to 6 months,1,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,135aaf17-f122-42cc-8032-be7e85b96dcc,,15/11/2021,08:22:26,15/11/2021,08:28:59,6.55,ARJE7592ZH616,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can’t think of anything that’s an improvement unfortunately.,None,Too prescriptive.   Can’t ever find a suitable category for the jobs I’m listing.  Length of information you get back is not user friendly.  The name of the applicant should be visible.  You should be able to choose to upload our own application form.,Fairly difficult,,Frequently asked questions (FAQs),,,NHS Jobs training website,,Not very useful,,2,,GP practice,,South East,,Hiring/Recruiting Manager,,Quarterly,12 months or more,3,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,3e312ba9-918f-4679-be06-45c79aa0a0d0,,15/11/2021,10:11:01,15/11/2021,10:22:31,11.5,ARJE3939CX809,Yes,No,Fair,Fair,Fair,,,,,,None,,Yes,,Yes,Email,,,,Once,"Yes, partially",,Yes,,,,,,Neither easy nor difficult,,5,,5,5,Fair,Fair,Fair,Fair,"No, there were not enough communications","No, I felt some information was missing",,,The change to the new site was made by deactivating permissions on the old NHS site without notification. Very unhelpful.,5,Neither easy nor difficult,None. It is too slow to use. A job advert is now split into lots of individual sections. It is truly awful.,None.,less mandatory fields that slow down the process of adding a job to the site. It is now far more time consuming than the previous incarnation.,Extremely difficult,It appears that you have decided to take a simply process and make it as fiddly as possible. Have you ever added a job on an external site such as Indeed? Done and live within minutes.,,User guides,,,,Not very useful,,Completely dissatisfied 1,As per previous answers - taken a simple process and added as many mandatory steps as possible. The NHS at its worst.,GP practice,,South East,,NHS Jobs Super User,,Monthly,12 months or more,12,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),"Indeeds, LMC,"
Web: Snap WebHost,completed,9c8a1544-ee3c-4bcc-bc78-e5c1340581fb,,15/11/2021,10:53:53,15/11/2021,11:01:16,7.38,ARJE9648QI898,Yes,No,Fair,Fair,Fair,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Fair,Good,Fair,Good,Yes,Yes,,Documentation format,,7,Fairly easy,Clear and simple format,Historical information still available,Layout of the portal,Fairly difficult,Unclear design,Frequently asked questions (FAQs),,,,,Not very useful,,6,The portal is not user friendly,Other organisation type (please type in the box below),,East of England,,HR Manager or equivalent,,Less frequently than quarterly,12 months or more,3,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Local press
Web: Snap WebHost,completed,93b29184-e41d-4b04-8425-c6a6ccc117b3,,15/11/2021,14:33:12,15/11/2021,14:36:01,2.82,ARJE2391FP774,Yes,No,Good,Good,Good,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,8,Neither easy nor difficult,,,,Neither easy nor difficult,,,,,,None of the above,,,8,,,,,,,,,,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),n/a
Web: Snap WebHost,completed,8eaf6f7d-f7fc-42b9-9dd2-facc6084e084,,16/11/2021,13:40:48,16/11/2021,13:50:01,9.22,ARJE2337ON417,Yes,No,Good,Good,Poor,It required website locations for policy documents we would not normally put on our website so we had to wait until the website engineers could add the policy. This took nearly a full working week,,,,Other (Please type in the box below),,see previous,Yes,,Yes,Email,,,,Once,"Yes, fully",,Yes,,,,,,Fairly easy,Just had to wait for a response,Completely satisfied 10,,Completely satisfied 10,Completely satisfied 10,Good,Good,Good,Good,Yes,Yes,,Remove the need to provide website link to policies,,8,Fairly easy,First time user - usuallu use Indeed. I like the fact it is similar to Indeed,as above,na,Fairly easy,,,,,,None of the above,,,8,na,GP practice,,North East and Yorkshire,,Hiring/Recruiting Manager,,Less frequently than quarterly,1 month,1,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,e0f0cd78-229c-45bc-ac6e-4b3f6c26f1e2,,16/11/2021,14:09:23,16/11/2021,14:14:15,4.87,ARJE4607XZ509,Yes,No,Good,Good,Fair,,,,,,None,,Yes,,Yes,Email,,,,Three times,"Yes, fully",,Yes,,,,,,Fairly easy,,7,,8,8,Fair,Fair,Fair,Fair,Yes,Yes,,,The site is not easy to navigate,7,Neither easy nor difficult,Duplicating job adverts,Duplicating job adverts,Character restrictions,Neither easy nor difficult,,Frequently asked questions (FAQs),,,,,Useful,,6,,Other NHS organisation,,East of England,,Other job role (please type in the box below),HR Advisor,At least once per day,12 months or more,30,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),PeopleHR
Web: Snap WebHost,completed,979f49aa-225d-4eea-83f4-1b737d4648de,,16/11/2021,14:41:52,16/11/2021,14:44:10,2.3,ARJE9429YI651,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,,,,,,None of the above,,,6,,Other organisation type (please type in the box below),Mental Health Charity,North East and Yorkshire,,Recruitment Officer,,Quarterly,7 to 11 months,6,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Other recruitment organisations and our own website
Web: Snap WebHost,completed,ede32238-9c33-468b-bc56-f1d4e9e606d1,,16/11/2021,14:43:03,16/11/2021,14:45:35,2.53,ARJE5275LZ403,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't like that I have to type in all of the job description and person spec, whereas before I just had to attach the documents. It takes longer now.",Neither easy nor difficult,,,,,,None of the above,,,4,It takes longer.,NHS Trust/Health Board,,North West,,Hiring/Recruiting Manager,,Less frequently than quarterly,12 months or more,1,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,ebd5b8fb-84c5-49a4-a85e-b659d96a3172,,16/11/2021,15:05:54,16/11/2021,15:09:04,3.17,ARJE9426BN838,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,,,,,,None of the above,,,5,,GP practice,,North West,,NHS Jobs Super User,,Monthly,2 to 3 months,,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,b98816cc-96a5-478f-82fd-cc697134abdf,,16/11/2021,15:28:48,16/11/2021,15:35:05,6.28,ARJE3156LG548,Yes,No,Good,Good,,,,,,,None,,Yes,,No,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Yes,Yes,,,,9,Very easy,Ease of putting on jobs,Using a previous job and updating it with a new one,"On the old version, I would receive an email once the job was closed.  This does not happen now, which would be really helpful especially if we are advertising lots of jobs",Very easy,,,,,,None of the above,,,7,An email informing me of when a job closes would be helpful,Other organisation type (please type in the box below),GP Federation,Midlands,,Recruitment Team Manager,,Monthly,12 months or more,25,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,01176e36-b09a-4a4f-9b5c-7bcd1c5a54f1,,16/11/2021,15:40:01,16/11/2021,15:45:40,5.65,ARJE3005XX708,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The wide audience that use it to look for jobs,,Being able to complete the recruitment process offline by paper at any point and then being able to clear a job from the dashboard - it is very frustrating not being able to easily see which position is the current one if you have re-recruited for the same position a number of times. Also if you delete a job to remove it from the dashboard you cannot then re-use it and re-list. It needs an ARCHIVE section for previous job listings instead,Fairly difficult,Lots of clicks and different screens to get into anything,Frequently asked questions (FAQs),User guides,,,,Useful,,3,,GP practice,,Midlands,,HR Manager or equivalent,,Weekly,12 months or more,9,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),global email via NHS network
Web: Snap WebHost,completed,e29613a3-c91a-474c-9909-bfbb652622e6,,10/11/2021,15:27:06,16/11/2021,16:38:43,8711.62,ARJE6484PE518,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methodical and comprehensive approach to listing a vacancy,Interim review of applicants,Its comprehensive nature makes it less user friendly than the previous site and unable to progress through certain fields with what are considered to be logical responses,Fairly difficult,as above,Frequently asked questions (FAQs),User guides,,,,Useful,,6,Not user friendly in places when processing applicants through the various stages completion especially if shortlisting and contract awarding etc is done offline. Completing and removing a listing is difficult,Social Enterprise,,South West,,Hiring/Recruiting Manager,,Fortnightly,4 to 6 months,10,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,8780f5df-a217-4aff-b4f4-1dc6994a09e2,,16/11/2021,16:35:44,16/11/2021,16:50:37,14.88,ARJE2949IL765,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The service does not work particularly well for us and has not been an improvement,I am sorry to say that that the previous system was better for us. Perhaps as we only use this to be able to advertise and access applications and not for the interviewing etc.,An improved application form that was clear on the candidates work experience and qualifications. Options to be able to see applications submitted before the closing date to help speed up shortlisting. Options to be able to see the number of hits a post has had. Adding on new posts with the specific  boxes with limited characters is  difficult and time consuming to add on new posts and making it fit to the boxes. The requirement to add each area of the specification so that we get a full application is time consuming. Not having the option to get the candidate to add an area where they make their supporting statement to why they are applying for the post.,Very difficult,See above.  It is time consuming to add on new posts. When cloning a post although there is an option to add a location there does not seem to be an option to change the location - when we have similar job roles in different areas we have had to start anew and copy across details.,,,,,None of the above,,,2,"More time consuming to create jobs, poor application design where it is difficult  to assess career and qualifications history. Limited in not being able to access submitted applications until a post closes.",Hospice,,South West,,HR Manager or equivalent,,Weekly,12 months or more,20,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Hireful
Web: Snap WebHost,completed,cce462f7-25b7-4356-8b03-1130aaf71222,,16/11/2021,17:09:46,16/11/2021,17:13:00,3.23,ARJE2604IR938,Yes,No,Very poor,Very poor,Very poor,,Completion of the on-boarding form,Communications from NHS Jobs,"Technical issues (e.g. internet service, firewalls, web browser compatibility)",Other (Please type in the box below),,,No,,No,,,,,,,,,,,,,,,,,,,,Very poor,Very poor,Very poor,Very poor,"No, there were not enough communications","No, I had to contact the support team for further information/advice",,,,Completely dissatisfied1,Extremely difficult,,,,Extremely difficult,,Frequently asked questions (FAQs),User guides,Videos,,,Not at all useful,,Completely dissatisfied 1,,GP practice,,North West,,HR Manager or equivalent,,Less frequently than quarterly,12 months or more,5,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Internal bulletin
Web: Snap WebHost,completed,1ddc1faa-d188-4424-a133-7b8c36109c95,,16/11/2021,21:03:13,16/11/2021,21:11:37,8.4,ARJE9503EV340,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Being able to see that jobs are in different categories now for being live, or shortlisted, ect.","Being able to use past adverts again, without having to start from a brand new template.",To be able to get candidates details straight away to contact them without having to go through each shortlisting and interview stage.  To be able to reject candidates individually. To be able to get proper CV's and cover letters from candidates as a lot of the applications are difficult to read in their layout.,Fairly easy,,,,,,None of the above,,,6,Because of the difficulties of getting the candidates applications and details without having to click through each stage to get to the page you want.,,,London,,HR Manager or equivalent,,Weekly,12 months or more,25,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Indeed
Web: Snap WebHost,completed,f4c68c4c-395b-45ce-81f4-20a5ca16b8f0,,17/11/2021,08:52:18,17/11/2021,08:58:53,6.58,ARJE2741DA857,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very difficult,Found it difficult to navigate myself around and also no guides on what needed to be filled in and what needed to be completed.,,,,,None of the above,,,4,I want to advertise roles on the NHS website and then be able to access the forms for the candidates.  Found the new system very confusing and not as easy to access the individuals information.,,,,,Recruitment Officer,,Less frequently than quarterly,2 to 3 months,1,A combination of NHS Jobs and another system,,,,,,,,,
Web: Snap WebHost,completed,21a975c6-0bed-4caa-803d-ac6e913c80f4,,10/11/2021,19:00:15,17/11/2021,09:52:41,9532.43,ARJE1897UE829,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The layout of the advert,Attaching JD to the advert,The short listing process,Fairly easy,,,,Videos,,,Useful,,5,,,,,,,,,,15,Not sure,,,,,,,,,
Web: Snap WebHost,completed,bcc64c6b-845f-4bc6-93bf-63b31a4469ab,,17/11/2021,09:52:08,17/11/2021,09:56:42,4.57,ARJE7737CM694,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the dashboard showing the different stages of recruitment.,Dashboard showing the different stages of recruitment.,"If you don't have any applicants, or you don't want to shortlist anyone or offer the job I can't see a way to move these adverts to completed, they seem to stay in the last state.",Neither easy nor difficult,,Frequently asked questions (FAQs),,,,,Useful,,6,,GP practice,,North West,,Hiring/Recruiting Manager,,Fortnightly,7 to 11 months,8,NHS Jobs solely,,,,,,,,,
Web: Snap WebHost,completed,495acfd6-914f-46c5-b56e-fd26e6bd4710,,17/11/2021,10:50:34,17/11/2021,10:57:00,6.43,ARJE1708PN895,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a,Contact details for applicants before you shortlist,Fairly easy,,,,,,None of the above,,,4,No training provided so had to work our way through it by trial and error.,Local Authority,,London,,Recruitment Officer,,Quarterly,12 months or more,4,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),HAVAS ATS
Web: Snap WebHost,completed,6d977e6b-e500-4ec8-8a22-9ed5ca230f92,,17/11/2021,11:01:27,17/11/2021,11:21:34,20.12,ARJE1105MM933,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Being able to apply easily.  Being able to amend job adverts quickly and allowing for flexibility.,,"Difficult for candidates to apply. Difficult to add new jobs on - takes lots of time, there was a very restrictive wordcount meaning I had to constantly re-write my job adverts to be able to add them in the different sections. Frustrating to have to add all the requirements of the job individually - should just be able to add job requirements as free text.  Or even just the JD/PS and this automatically uploads the specifications. Can't view all current jobs all on one page.  Takes ages to find any of the roles:  allow at least 20 roles per page, or with option to choose how many to view at once. Cannot run rolling campaigns very easily - whereby we advertise and interview as soon as applications come in.  Allow the option to set up as rolling or standard. Should be able to easily add or remove bulletpoints, and also have the option for bold / italic. There should be an option to duplicate a job - so you don't have to start from scratch each time.",Extremely difficult,"So time consuming to use - should just be able to advertise a job in 10-15minutes, instead takes 30-40minutes.   Too many pages.",,,,,None of the above,,,3,Time and in comparison to old NHS jobs.,Local Authority,,East of England,,Recruitment Officer,,At least once per day,4 to 6 months,17,A combination of NHS Jobs and another system,,,,,,,,Other (please type in the box below),Public Sector Jobs East
Web: Snap WebHost,completed,d0b1824f-2258-4d45-a018-c54951bd9d55,,17/11/2021,11:14:55,17/11/2021,11:23:34,8.65,ARJE2281LI436,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ease of creating a job advert and the online shortlisting process.,Creating an advert is simple and straightforward.,"The shortlisting process does not work well for us. I am not keen on the fact that you have to send your rejection emails before you can invite your shortlisted applicants. I would prefer to complete this the other way around. It would also be beneficial to be able to see applicants contact details prior to shortlisting, in case there is a need to discuss something within their application. Also I do not feel that the new service does not allow applicants to upload as many details within their application as the old service did.",Fairly easy,,,,,,None of the above,,,6,"I like the new version in regards to creating job adverts, however I prefer the old service in regards to shortlisting, viewing applicants and the amount of information you are able to obtain within a application.",GP practice,,East of England,,HR Manager or equivalent,,Monthly,7 to 11 months,8,A combination of NHS Jobs and another system,,,,,,,,,
